Year,DALYs Cause: Depressive disorders,DALYs Cause: Schizophrenia,DALYs Cause: Bipolar disorder,DALYs Cause: Eating disorders,DALYs Cause: Anxiety disorders
2020,618.0757849999997,185.65864530000002,191.8306338000001,115.62443749999997,532.1444819000009
2021,625.0934022999998,186.69332709999995,192.0109471999999,115.62257340000001,531.9183462000004
2022,623.5300984999998,186.71590419999995,191.4058359999999,115.61075939999999,531.5664207000002
2023,623.5300984999998,186.70698909999996,191.49109199999984,115.24972684999999,538.6495691000003
2024,623.5300984999998,186.74137529999996,191.17836289999997,115.24972684999999,538.6706879000001
2025,623.5300984999998,186.73656909999997,191.16162989999992,115.24972684999999,539.1292148000002
2026,624.3464472999998,186.72573539999996,189.9729832000001,115.24972684999999,539.1580944000002
2027,623.5300984999998,186.74707659999996,189.59593180000005,115.24972684999999,539.1580944000002
2028,623.5300984999998,185.77235079999994,189.75347960000008,115.24972684999999,532.7267701000002
2029,623.5300984999998,185.78634549999998,191.16570230000005,115.23535044999998,532.8989668000004
2030,623.5300984999998,186.74520489999995,191.31015100000002,115.24972684999999,532.4669644000006
